state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1897041,1108552,261147,915,980271,1675031,1276,1591709,528031,3266740,356085,884116,2283609
Arizona,759140,452796,90225,5380,43403,647233,83387,654928,234347,1302161,132283,366630,1169517
Arkansas,1022241,569659,194372,996,388787,907285,580,878987,321219,1786272,202333,523552,1395703
California,9577305,4763695,1376204,318376,883861,7880497,39014,7836707,2910093,15717204,2072015,4982108,14455230
Colorado,1026729,569058,158160,8175,39992,883480,4288,870467,337565,1753947,191854,529419,1700700
Connecticut,1545345,747274,242615,2244,107449,1291005,923,1244229,465672,2535234,287064,752736,2423816
Delaware,266979,143568,35745,410,60688,225156,597,221136,85971,446292,42611,128582,384327
District_of_Columbia,501141,193672,69143,4690,411737,405785,587,358171,75532,763956,176534,252066,345263
Florida,2931617,1466814,553129,3699,880186,2514777,2504,2436783,1047217,4951560,503197,1550414,4063881
Georgia,2328706,1323749,290661,2004,1122596,2017203,749,1925913,601631,3943116,468694,1070325,2817223
Idaho,377484,231449,58258,2758,1502,328770,5231,338421,136746,667191,57093,193839,657383
Illinois,6104817,3001418,974923,24708,1037470,5128292,4704,4952866,1782127,10081158,1302844,3084971,9010252
Indiana,2735411,1481568,445519,2447,269275,2363760,948,2298738,986098,4662498,401780,1387878,4388554
Iowa,1572000,857852,327685,1189,25354,1398490,1708,1359047,581352,2757537,260005,841357,2728709
Kansas,1266030,672312,240269,2271,91445,1097234,5069,1081377,463350,2178611,209549,672899,2078666
Kentucky,1766076,979757,292323,1298,215949,1529708,391,1508448,547750,3038156,304117,851867,2820083
Louisiana,1867439,1147992,241591,2004,1039207,1664768,3587,1592254,526366,3257022,365978,892344,2211715
Maine,561743,300978,106544,597,3318,490211,1879,479054,186379,969265,93976,280355,963291
Maryland,1881577,992573,226539,5700,518410,1567489,1538,1533200,556391,3100689,306610,863001,2573919
Massachusetts,3096136,1480833,571609,9478,111842,2662343,2118,2486235,857436,5148578,677549,1534985,5023144
Michigan,4593214,2591796,638184,7579,717581,3940326,9701,3882868,1665603,7823194,573476,2239079,7085865
Minnesota,1938148,1121365,354351,3642,22263,1720902,15496,1692962,714960,3413864,277021,991981,3371603
Mississippi,1207842,780270,190029,1481,915743,1110208,3119,1067933,327894,2178141,240176,568070,1257546
Missouri,2551434,1264968,503411,3146,390853,2211534,1723,2108279,874532,4319813,485522,1360054,3922967
Montana,382155,227192,65420,1082,1467,331024,21181,343743,129399,674767,72841,202240,650738
Nebraska,811349,435825,164156,1318,29262,711304,5545,700026,280867,1411330,152581,433448,1374764
Nevada,179862,87243,18173,1402,13484,137757,6681,147521,51491,285278,40029,91520,263443
New_Hampshire,356707,182509,67705,400,1903,308814,135,298107,117232,606921,62788,180020,604334
New_Jersey,3757579,1748789,560414,8778,514875,3094791,1699,2971991,1107841,6066782,698598,1806439,5539003
New_Mexico,539064,360689,51270,1484,17063,471253,56255,479770,163926,951023,87283,251209,875763
New_York,10467643,4627071,1687590,51678,1417511,8659065,16491,8123239,2350265,16782304,2898445,5248710,15287071
North_Carolina,2722881,1521107,312167,2012,1116021,2309086,38129,2247069,724631,4556155,480084,1204715,3399285
North_Dakota,356170,217685,58591,274,777,309238,11736,323208,118566,632446,54796,173362,619538
Ohio,5730737,3078536,897124,6585,786097,4942169,1910,4764228,1922686,9706397,929871,2852557,8909698
Oklahoma,1381734,697719,248831,1414,153084,1180433,64689,1147851,492263,2328284,242330,734593,2107900
Oregon,1039745,545289,183653,9120,18133,888736,8026,879951,386608,1768687,171606,558214,1732037
Pennsylvania,6895751,3295090,1128525,7729,852750,5809515,2122,5509851,2289741,11319366,1061098,3350839,10454004
Rhode_Island,526120,243828,89540,1190,18332,437643,932,421845,140336,859488,116999,257335,838712
South_Carolina,1381867,850128,150599,946,829291,1206776,1098,1175818,345756,2382594,257795,603551,1551022
South_Dakota,380519,228482,71513,336,1114,336243,25794,344271,130864,680514,63957,194821,653098
Tennessee,2130208,1128020,308861,1243,586876,1826399,638,1740690,639600,3567089,363701,1003301,2977753
Texas,5662052,3172234,745391,9848,1187125,4834696,5750,4744981,1799477,9579677,978639,2778116,8374831
Utah,496378,334292,59957,5207,4148,445703,6961,444924,173296,890627,68236,241532,873828
Vermont,223539,122601,43741,172,519,198138,57,191743,73115,389881,37617,110732,389092
Virginia,2409313,1268666,288970,4725,816258,1987577,2155,1979372,658078,3966949,414762,1072840,3142443
Washington,1681975,892194,279045,29253,48738,1418177,21076,1435037,612443,2853214,281725,894168,2751675
West_Virginia,1089427,598478,172516,419,89378,945386,181,915035,335068,1860421,186074,521142,1770133
Wisconsin,2279938,1269103,402736,2836,74546,1987265,14297,1964512,786617,3951777,359725,1146342,3858903
Wyoming,192784,111374,25908,805,2183,161051,4020,169015,61676,330066,37511,99187,322922
