state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1344804,917165,83498,85,900652,1175069,405,1173105,172363,2348174,319756,508769,1447032
Arizona,211786,111374,9977,1719,8005,150560,32989,183602,33075,334162,44163,80208,291449
Arkansas,1017658,670770,62092,121,472220,856976,106,895228,171253,1752204,208491,390960,1279757
California,2401859,815282,200301,106027,38763,1613270,17360,1813591,382834,3426861,493177,900232,3264711
Colorado,609554,281358,41063,2825,11318,446898,1383,492731,116781,939629,109501,230843,924103
Connecticut,895876,414825,68517,694,21046,685296,159,695335,115181,1380631,190964,311610,1358732
Delaware,145592,64287,12402,51,30335,109248,2,113755,22829,223003,28287,52070,192615
District_of_Columbia,324955,90092,20635,708,109966,234028,37,203543,28503,437571,65654,96194,326860
Florida,602099,322994,40664,312,329487,473150,518,495320,94990,968470,128678,234133,638153
Georgia,1679867,1110914,102111,228,1206365,1451009,125,1444823,188185,2895832,421047,628525,1689114
Idaho,264276,152412,14839,2180,920,197947,3098,233919,59208,431866,38013,100500,425668
Illinois,4283042,1895667,297647,3479,182274,3180447,194,3304833,658260,6485280,846071,1534077,6299333
Indiana,1894289,848576,183695,384,80810,1441316,125,1489074,395402,2930390,326192,737707,2849071
Iowa,1537525,718667,144392,306,19005,1174629,529,1229392,332567,2404021,239880,586070,2384181
Kansas,1109930,551843,104747,150,57925,860036,2276,909221,241456,1769257,182784,435600,1708906
Kentucky,1450507,850433,113772,75,235938,1189136,57,1227494,275993,2416630,258643,546306,2180560
Louisiana,1083071,651670,59443,575,700257,895174,1066,903335,126410,1798509,248802,389913,1096611
Maine,488246,216772,62101,170,1310,379262,839,388752,108829,768014,73860,186106,765695
Maryland,945123,430579,72468,413,244479,720206,32,729455,159262,1449661,160219,324742,1204737
Massachusetts,2563652,1079125,206447,2811,45466,1962342,555,1890014,301245,3852356,564097,874798,3803524
Michigan,2374449,1099259,190972,1089,60082,1739976,5614,1928436,499471,3668412,349054,862745,3601627
Minnesota,1529752,743954,110766,619,8809,1141588,8761,1245537,312367,2387125,202222,526026,2368936
Mississippi,1032669,687972,66708,367,935184,893494,1105,897124,132900,1790618,257971,403198,853962
Missouri,2212937,1001405,185502,599,178241,1680736,171,1723319,401667,3404055,409068,829043,3225044
Montana,351371,178773,16808,2015,1658,248948,10956,299941,81840,548889,53362,139912,534260
Nebraska,813557,415928,64341,1023,13242,623567,2888,672805,169098,1296372,125713,303436,1279219
Nevada,54407,19212,3473,1455,346,31167,4907,46240,9938,77407,10940,21862,70699
New_Hampshire,287137,119944,35210,103,621,220971,28,222112,52778,443083,53159,108334,442331
New_Jersey,2066968,952890,133481,1581,117132,1565825,100,1590075,271914,3155900,438911,721841,3037087
New_Mexico,213971,133680,12244,432,5733,169894,19512,190456,48152,360350,32907,83706,334673
New_York,6995306,2884859,493097,9214,198483,5197877,5503,5187350,738738,10385227,1670088,2441125,10172027
North_Carolina,1423891,1033307,98716,113,763407,1280061,11824,1279062,235842,2559123,261303,513377,1783779
North_Dakota,374835,251421,19324,197,467,305199,6254,341673,84904,646872,45050,134881,639954
Ohio,3792778,1643267,319437,1163,186187,2803414,151,2955980,719097,5759394,673858,1414068,5571893
Oklahoma,1198461,761769,64772,344,149408,970239,57337,1058044,193840,2028283,231813,444524,1821194
Oregon,526536,213416,42583,7509,2144,367055,4590,416334,108772,783389,89588,202890,769146
Pennsylvania,5515655,2802436,394303,2386,284568,4290997,337,4429020,853471,8720017,1035534,1922114,8432726
Rhode_Island,399469,174445,30190,271,10036,306873,110,297524,41921,604397,92800,137160,593980
South_Carolina,941565,687448,53375,163,864719,845431,304,838293,108179,1683724,227657,349126,818538
South_Dakota,388702,220862,25536,184,832,299427,16384,337120,84712,636547,53099,142793,619147
Tennessee,1390982,843560,101189,78,451758,1163918,56,1173967,241875,2337885,264982,519108,1885993
Texas,2837979,1651713,163046,1260,741694,2254006,2109,2409222,421875,4663228,563597,1017413,3918165
Utah,263560,169492,15883,3338,1446,217345,2711,232051,57985,449396,38598,98346,441901
Vermont,221817,100541,29694,15,572,173574,24,178854,48370,352428,35706,85804,351817
Virginia,1379829,826312,100008,437,690017,1140695,824,1168492,242062,2309187,231563,483363,1617909
Washington,919378,372245,60211,20900,6883,621920,9061,734701,183322,1356621,151513,342228,1319777
West_Virginia,860322,544453,56140,114,86345,700601,7,763100,141362,1463701,160528,310098,1377235
Wisconsin,1666599,822207,140406,317,5201,1275349,9611,1356718,371822,2632067,212464,595316,2616938
Wyoming,127671,60867,4989,1538,1375,84043,1343,110359,24060,194402,22271,48476,190146
