state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1596704,949035,99240,105,944834,1331239,465,1315009,198472,2646248,381466,591625,1700844
Arizona,275875,143405,15768,2547,10749,204269,43726,231304,45808,435573,56380,105992,378551
Arkansas,1132554,645550,75600,296,478463,914639,408,939843,168767,1854482,251897,438639,1375315
California,4002500,1294887,366125,168731,81048,2734656,19212,2942595,726072,5677251,848888,1610030,5408260
Colorado,673913,299390,61787,3775,11828,505039,1395,530752,131571,1035791,127979,267324,1018793
Connecticut,1067172,445475,93319,687,29354,805600,162,801303,171202,1606903,213445,388645,1576700
Delaware,157346,64218,16678,55,32602,117123,5,121257,30187,238380,27804,59092,205718
District_of_Columbia,357194,100640,27253,780,132068,254986,40,231883,47220,486869,75254,125554,353981
Florida,958932,436840,71202,406,431828,730536,587,737675,153956,1468211,212740,376499,1035390
Georgia,1784210,1009174,113278,317,1071125,1473979,43,1434527,194459,2908506,440011,652793,1837021
Idaho,276784,145724,22310,1886,668,207685,3638,237347,59584,445032,44996,108044,438840
Illinois,5221401,1980797,421073,5946,328972,3757197,469,3873457,882999,7630654,1017115,1929396,7295267
Indiana,2106442,897005,232787,458,111982,1598442,285,1640061,474196,3238503,353807,843066,3125778
Iowa,1586398,699060,184239,222,17380,1215838,660,1255101,340778,2470939,282607,635704,2452677
Kansas,1208341,542471,129468,204,66344,919708,2454,961291,267115,1880999,210106,487188,1811997
Kentucky,1581744,889335,142122,75,226040,1291796,22,1322793,306284,2614589,290379,609405,2388452
Louisiana,1318582,706356,75850,1019,776326,1053770,1536,1047823,165731,2101593,307273,485363,1322712
Maine,498997,228825,69010,130,1096,396138,1012,401285,119898,797423,74358,197826,795185
Maryland,1074850,459898,92972,871,276379,810517,50,821009,208563,1631526,169359,385179,1354226
Massachusetts,2845071,1127300,274195,3383,52365,2177942,874,2071672,439238,4249614,569645,1021160,4192992
Michigan,3178679,1405880,254891,2285,169453,2323016,7080,2519309,685516,4842325,476682,1180554,4663507
Minnesota,1657965,741540,163480,832,9445,1247382,11077,1316571,349908,2563953,243696,606496,2542599
Mississippi,1219532,712037,77443,568,1009718,1004680,1458,1005141,149973,2009821,311586,471704,998077
Missouri,2411996,970057,244525,1073,223840,1806501,578,1822866,459810,3629367,461203,939476,3403876
Montana,350918,159651,26700,1654,1256,244378,14798,293228,71419,537606,59636,136210,519898
Nebraska,882856,408163,86194,932,13752,671615,3256,706348,181369,1377963,152835,342999,1360023
Nevada,64159,22035,4814,1156,516,37897,4871,53161,11551,91058,12977,25469,84515
New_Hampshire,298568,124921,41560,88,790,233534,64,231759,64823,465293,53078,119337,464351
New_Jersey,2742659,1094928,201043,2630,208828,2010690,213,2030644,470509,4041334,502497,985636,3829663
New_Mexico,250995,155293,16825,431,2850,204095,28941,219222,54439,423317,40428,98546,391095
New_York,8757856,3152319,667325,15088,412814,6275546,6973,6312520,1155036,12588066,1957733,3153124,12153191
North_Carolina,1851926,1200560,115671,92,918647,1595068,16579,1575208,279946,3170276,349555,644033,2234958
North_Dakota,416441,233731,30280,230,377,321230,8387,359615,81352,680845,57399,145005,671851
Ohio,4403470,1825204,414836,1785,309304,3285556,435,3361141,912295,6646697,763650,1697918,6335173
Oklahoma,1489700,808413,96888,339,172198,1162776,92725,1233264,225266,2396040,320555,564164,2130778
Oregon,652974,233038,67332,8179,2234,454114,4776,499672,154283,953786,106712,266328,938597
Pennsylvania,6232944,2885054,508278,3563,431257,4785833,523,4845517,1198420,9631350,1003159,2235620,9196007
Rhode_Island,455335,191988,39953,240,9913,352125,318,335372,67467,687497,96432,165343,677026
South_Carolina,1012375,668634,57164,76,793681,885607,959,853158,111257,1738765,248335,365680,944049
South_Dakota,430881,224677,36915,101,646,329199,21833,363650,82482,692849,72902,161013,670269
Tennessee,1625261,868625,119045,105,477646,1311997,161,1304559,270260,2616556,314841,600625,2138644
Texas,3711934,1876131,232459,1578,854964,2858721,1001,2965994,557686,5824715,779269,1380096,4967172
Utah,304075,180884,22665,3903,1108,247848,2869,259999,69583,507847,44610,115936,499967
Vermont,226530,101710,31253,41,568,176345,36,183266,52813,359611,35563,89188,358966
Virginia,1485350,818639,116678,466,650165,1205805,779,1216046,272208,2421851,247497,529089,1770441
Washington,1070653,389260,101503,23642,6840,737004,11253,826392,245138,1563396,167609,423833,1521661
West_Virginia,1034711,620718,73043,103,114893,839334,18,889871,168543,1729205,198736,373941,1614191
Wisconsin,1896252,849059,192059,464,10739,1428191,11548,1510815,440197,2939006,256811,711889,2916255
Wyoming,148338,68342,8707,1229,1250,100780,1845,124785,26425,225565,28322,56887,221241
