state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1862728,1000367,198648,275,979617,1559103,928,1502640,388996,3061743,397843,786839,2079591
Alaska,-1,-1,-1,-1,-1,-1,-1,-1,-1,128643,-1,-1,-1
Arizona,466269,239077,44241,2731,25974,370528,65761,379059,118620,749587,91754,210374,654511
Arkansas,1150689,609827,148995,705,426639,957977,533,951534,285599,1909511,238792,524391,1481507
California,7091646,2599572,895005,143280,462172,5290594,19947,5295629,1811684,10586223,1521722,3333406,9915173
Colorado,845416,364081,115592,5870,20177,659940,1567,665149,227298,1325089,163937,391235,1296653
Connecticut,1353590,476866,176824,704,53472,1018783,333,988497,290968,2007280,278670,569638,1952329
Delaware,209808,81957,26320,99,43598,160741,-1,157344,53247,318085,37143,90390,273878
District_of_Columbia,584630,160861,56687,2178,280803,424260,330,377918,72362,802178,151780,224142,517865
Florida,1808028,725803,237474,667,603101,1404388,1011,1366917,473124,2771305,348377,821501,2166051
Georgia,2135936,1088987,219655,639,1062762,1755911,333,1688667,413696,3444578,475573,889269,2380577
Hawaii,-1,-1,-1,-1,-1,-1,-1,-1,-1,499794,-1,-1,-1
Idaho,358431,186669,43537,2224,1050,285400,3800,303237,110694,588637,58416,169110,581395
Illinois,5865339,2092536,754301,15853,645980,4392925,1443,4319251,1294249,8712176,1287751,2582000,8046058
Indiana,2519801,1053397,361026,814,174168,1975708,438,1958516,766018,3934224,402898,1168916,3758512
Iowa,1642207,705868,272998,620,19692,1310790,1084,1310283,494826,2621073,285341,780167,2599546
Kansas,1211932,499149,194218,431,73158,951765,2381,953534,375033,1905299,211617,586650,1828961
Kentucky,1801120,908443,235243,409,201921,1469819,234,1474987,456797,2944806,321957,778754,2742090
Louisiana,1661737,844930,176849,653,882428,1364350,409,1319166,364945,2683516,360000,724945,1796683
Maine,566758,253454,93562,107,1221,459629,1522,454145,159824,913774,94619,254443,910846
Maryland,1553635,625852,163514,1084,385972,1176398,314,1166603,360718,2343001,280504,641222,1954975
Massachusetts,3113002,1109076,468436,4011,73171,2420147,1201,2270367,624838,4690514,680356,1305194,4611503
Michigan,4165598,1744518,461650,3136,442296,3159647,7000,3212119,1208975,6371766,581727,1790702,5917825
Minnesota,1889454,823899,269130,1769,14022,1481275,12533,1501208,561177,2982483,284088,845265,2953697
Mississippi,1286089,739861,152964,1073,986494,1102123,2502,1076791,265061,2178914,289704,554765,1188632
Missouri,2561052,986213,407388,1046,297088,2013790,547,1940863,691256,3954653,506341,1197597,3655593
Montana,370068,170092,50864,733,1232,281601,16606,309423,105744,591024,69726,175470,572038
Nebraska,846447,348684,130379,821,19234,658178,3954,667332,238810,1325510,155338,394148,1301328
Nevada,107672,41425,10986,663,4302,75066,5025,85017,24484,160083,25757,50241,149908
New_Hampshire,339866,135583,57793,118,731,270818,74,262424,90213,533242,64990,155203,532275
New_Jersey,3320064,1121276,393989,3602,318565,2452585,621,2382744,729993,4835329,643644,1373637,4511585
New_Mexico,410970,237153,33064,417,8408,333643,41901,347544,104131,681187,72862,176993,630211
New_York,10219805,3351930,1258457,24064,918191,7590248,10640,7239944,1638860,14830192,2686279,4325139,13872095
North_Carolina,2524909,1311723,225297,443,1047353,2044824,3742,2017105,530371,4061929,463985,994356,2983121
North_Dakota,379264,192176,48196,143,257,296692,10766,322944,107341,619636,54764,162105,608448
Ohio,5184058,2053594,708975,3528,513072,4018093,1146,3928534,1413086,7946627,900904,2313990,7428222
Oklahoma,1400048,639381,193922,534,145503,1117796,53769,1115555,397811,2233351,265392,663203,2032526
Oregon,984669,403651,133021,5762,11529,748565,5820,772776,312828,1521341,166219,479047,1497128
Pennsylvania,6981934,2629253,886825,3287,638485,5327601,1141,5170411,1739833,10498012,1176046,2915879,9853848
Rhode_Island,535437,186041,70418,428,13903,401313,385,390583,102071,791896,123376,225447,777015
South_Carolina,1266075,735947,115005,135,822077,1076487,554,1040540,232284,2117027,282354,514638,1293405
South_Dakota,407069,190375,55296,100,727,315489,23344,337251,113780,652740,69198,182978,628504
Tennessee,2067400,989434,234884,334,530603,1668611,339,1623107,492643,3291718,378831,871474,2760257
Texas,4950998,2246776,513420,3392,977458,3848052,2736,3863142,1241540,7711194,947638,2189178,6726534
Utah,415465,230979,42418,4787,2729,341226,4201,347636,122600,688862,65225,187825,676909
Vermont,232324,105889,39534,48,443,189993,30,187754,63397,377747,40099,103496,377188
Virginia,2138656,965500,214524,758,734211,1643464,1056,1675216,465933,3318680,379326,845259,2581555
Washington,1540751,626807,211405,13102,30691,1155112,13816,1223851,477897,2378963,257849,735746,2316496
West_Virginia,1230550,636476,138526,145,114867,999265,160,1006287,284924,2005552,233357,518281,1890282
Wisconsin,2198085,926573,309917,1119,28182,1707733,12196,1726842,613959,3434575,353489,967448,3392690
Wyoming,187822,84542,18165,556,2557,135676,3237,154853,45428,290529,38757,84185,284009
