state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1014995,752679,54306,61,827307,911933,177,916764,122449,1828697,231180,370980,1001152
Alaska,-1,-1,-1,-1,-1,-1,-1,-1,-1,63592,-1,-1,-1
Arizona,77859,40455,3328,1700,1848,51136,26480,71795,15317,122931,10545,27817,92903
Arkansas,731333,543713,31344,62,366856,636252,66,675312,119827,1311564,130411,262421,944580
California,1008202,389831,76846,55904,11045,664522,15377,820531,146994,1485053,162275,324690,1402727
Colorado,358357,163147,13646,647,8570,244368,1437,295332,54965,539700,61386,122349,529046
Connecticut,602084,254321,50850,617,15226,454126,153,454294,76855,908420,119094,200640,892424
Delaware,117777,57981,8468,52,30697,90577,9,94158,13641,184735,23835,39007,153977
District_of_Columbia,197074,69615,11734,462,86702,146714,22,132004,12998,278718,40753,55465,191532
Florida,307861,204027,13941,121,230730,253296,358,275246,50930,528542,55920,113629,297333
Georgia,1226736,916862,66376,205,1034813,1113130,19,1103201,129667,2216331,291447,450712,1181294
Hawaii,-1,-1,-1,-1,-1,-1,-1,-1,-1,154001,-1,-1,-1
Idaho,97840,58917,4425,2758,293,68405,4226,93367,24370,161772,9218,35819,154495
Illinois,3030932,1588685,190639,1583,85078,2348768,16,2472782,451597,4821550,547369,1024189,4734873
Indiana,1580234,813069,117861,212,57505,1231058,243,1285404,312283,2516462,242588,567072,2458502
Iowa,1361103,759613,105916,111,12693,1075004,382,1156849,282760,2231853,183053,476710,2218667
Kansas,894328,512739,60373,43,52003,701779,2130,768716,183286,1470495,126240,319422,1416319
Kentucky,1254131,809142,77127,57,284706,1056947,102,1090227,218142,2147174,204009,434228,1862309
Louisiana,777550,560646,40223,616,650804,686892,593,694733,83575,1381625,181577,281449,729612
Maine,448369,189333,55122,123,1319,343471,798,350995,102537,694466,55028,161588,692226
Maryland,740421,393546,49983,553,235064,598769,3,589275,90702,1188044,135353,239837,952424
Massachusetts,1885083,767628,143107,3021,31974,1437872,587,1367474,206127,2805346,379696,604873,2769764
Michigan,1523962,772334,121160,249,15816,1172077,6354,1248905,330276,2420982,198078,542358,2398563
Minnesota,1042720,637801,66771,217,4959,818904,9182,932490,208189,1751394,118034,337284,1737036
Mississippi,852558,650444,45029,237,907630,769819,2203,781451,102645,1551270,194637,316114,641200
Missouri,1903512,1082065,112682,458,161234,1510955,130,1595710,322244,3106665,307492,646872,2944843
Montana,166109,71130,4845,4180,1523,93487,11343,149842,28563,243329,20556,52125,226283
Nebraska,641596,388288,34754,183,6269,501708,3322,564592,120705,1066300,90711,217990,1056526
Nevada,28853,10764,2268,1580,134,16732,5216,25603,6511,42335,3134,10472,35405
New_Hampshire,271524,106592,32344,113,662,206209,22,205379,50593,411588,42840,96534,410791
New_Jersey,1222755,577518,79617,1445,69844,941909,63,941760,136055,1883669,259848,408993,1812317
New_Mexico,112857,75877,5846,349,1610,91082,13144,104228,29223,195310,13118,45510,180207
New_York,4798984,2111000,347905,7524,99232,3654114,5257,3614780,521537,7268894,1043800,1608170,7156881
North_Carolina,1040395,782401,66148,51,624469,955133,5687,938677,165222,1893810,188162,367565,1263603
North_Dakota,185556,125492,7357,180,286,141653,6968,177493,49163,319146,11863,63360,311712
Ohio,2658540,1282471,209563,398,96901,2054890,42,2102655,481592,4157545,431301,934674,4060204
Oklahoma,444587,326180,15379,58,55684,367080,64445,423311,84293,790391,70903,161946,670204
Oregon,269994,126135,16475,12898,1105,180551,4951,232985,50174,413536,33745,87545,394582
Pennsylvania,3987374,2040977,261817,1967,156845,3097574,1639,3204541,523843,6302115,742385,1303174,6141664
Rhode_Island,287373,120471,19798,379,9092,218040,35,210516,26009,428556,64362,92735,419050
South_Carolina,726612,572277,39623,67,782321,675421,121,664895,77054,1340316,174448,267859,557807
South_Dakota,233432,154565,12836,166,465,185406,20225,216164,56785,401570,22610,82290,380714
Tennessee,1162962,783441,66441,79,480243,999392,108,1021224,179175,2020616,206077,399017,1540186
Texas,1694573,1267974,74037,849,620722,1469810,470,1578900,261933,3048710,299312,582055,2426669
Utah,152512,113350,10055,989,672,135062,2623,141687,36724,276749,17012,55208,272465
Vermont,220130,94877,27771,39,826,168503,5,175138,47751,343641,31014,80559,342771
Virginia,1066930,710520,72846,253,660722,928287,354,925897,170574,1854184,177087,360749,1192855
Washington,339264,157899,14681,9246,2514,213925,10039,304178,57204,518103,45113,107171,496304
West_Virginia,554894,367883,32236,56,43499,459558,12,499242,98469,958800,80759,183780,915233
Wisconsin,1223096,739998,103192,217,2542,1001480,8372,1067562,274010,2069042,137009,420327,2057911
Wyoming,62585,28312,1407,854,940,34347,1686,58184,9674,92531,7388,18632,89051
