state,age1564.csv,age15u.csv,age65o.csv,asian.csv,black.csv,female.csv,indian.csv,male.csv,owneroccupied.csv,pop.csv,renteroccupied.csv,totalhouseholds.csv,white.csv
Alabama,1780594,916158,136209,110,983290,1433060,464,1399901,226460,2832961,447355,673815,1849097
Arizona,321418,153934,23909,2400,14993,241091,55076,258170,62842,499261,68291,131133,426792
Arkansas,1238012,604115,107260,447,482578,966471,278,982916,196916,1949387,298909,495825,1466084
California,4984839,1367301,555247,167643,124306,3391657,18675,3515730,928796,6907387,1209547,2138343,6596763
Colorado,748875,287983,86438,3258,12176,554518,1360,568778,146455,1123296,169545,316000,1106502
Connecticut,1217981,362707,128554,642,32992,859319,201,849923,181629,1709242,267053,448682,1675407
Delaware,185427,60512,20566,87,35876,132172,14,134333,33213,266505,37328,70541,230528
District_of_Columbia,503700,118185,41206,1309,187266,345569,190,317522,51944,663091,121501,173445,474326
Florida,1290668,475529,131217,540,514198,954291,690,943123,226655,1897414,293232,519887,1381986
Georgia,2007822,957187,158714,412,1084927,1588965,106,1534758,231689,3123723,520552,752241,2038278
Idaho,343019,150154,31700,1449,595,248294,3537,276579,82078,524873,59649,141727,519292
Illinois,5621277,1708001,567963,4969,387446,3940092,624,3957149,882870,7897241,1309854,2192724,7504202
Indiana,2317212,822548,288036,334,121916,1702595,223,1725201,510636,3427796,450862,961498,3305323
Iowa,1686651,623850,227767,150,16694,1257774,733,1280494,361477,2538268,340347,701824,2520691
Kansas,1204427,439465,157136,229,65138,894688,1165,906340,260495,1801028,250614,511109,1734496
Kentucky,1792294,864049,189284,127,214031,1409815,44,1435812,335350,2845627,363188,698538,2631425
Louisiana,1542438,702439,119003,1037,849303,1191498,1801,1172382,218447,2363880,374081,592528,1511739
Maine,545594,221307,80325,128,1304,421405,1251,425821,125390,847226,93578,218968,844543
Maryland,1263881,433847,123516,759,301931,906206,73,915038,220765,1821244,244918,465683,1518481
Massachusetts,3007321,940426,368974,2965,55391,2214242,769,2102479,426785,4316721,693909,1120694,4257596
Michigan,3611096,1314156,330854,1836,208345,2561379,6282,2694727,773755,5256106,622259,1396014,5039643
Minnesota,1890531,689151,212618,862,9928,1364755,12528,1427545,402318,2792300,326041,728359,2768982
Mississippi,1355847,712531,115418,757,1074578,1099314,2134,1084482,178118,2183796,356838,534956,1106327
Missouri,2573276,885643,325745,761,244386,1903412,330,1881252,472950,3784664,595692,1068642,3539187
Montana,381304,141895,36257,1027,1120,260447,16841,299009,83126,559456,76837,159963,540468
Nebraska,878671,331531,105632,638,14171,650046,3401,665788,169966,1315834,190778,360744,1297624
Nevada,78601,24846,6800,806,664,48906,4747,61341,15353,110247,17938,33291,104030
New_Hampshire,327907,114897,48720,71,414,246615,50,244909,68705,491524,64231,132936,490989
New_Jersey,3006582,874762,278821,1894,226973,2091006,211,2069159,433878,4160165,666382,1100260,3931087
New_Mexico,324942,183592,23284,324,4672,259972,34510,271846,74150,531818,55325,129475,492312
New_York,9779490,2777296,922356,19724,571221,6788816,8651,6690326,1111388,13479142,2550725,3662113,12879546
North_Carolina,2253864,1161219,156540,144,981298,1798633,22546,1772990,335063,3571623,454596,789659,2567635
North_Dakota,411955,190590,39390,156,201,306533,10114,335402,75710,641935,76333,152043,631464
Ohio,4789023,1578860,539729,1282,339461,3446540,338,3461072,948354,6907612,949442,1897796,6566531
Oklahoma,1508617,682883,144934,232,168849,1154542,63125,1181892,261162,2336434,349319,610481,2104228
Oregon,765651,231305,92728,6794,2565,526995,4594,562689,187044,1089684,150448,337492,1075731
Pennsylvania,6827126,2395586,677468,2578,470172,4948973,441,4951207,1154948,9900180,1360576,2515524,9426989
Rhode_Island,501262,157800,54284,321,11024,363942,196,349404,70190,713346,117516,187706,701805
South_Carolina,1177805,640685,81314,98,814164,964565,1234,935239,133279,1899804,301689,434968,1084308
South_Dakota,420092,178429,44440,65,474,310447,23347,332514,74388,642961,91040,165428,619075
Tennessee,1888060,856003,171778,85,508736,1470012,114,1445829,315182,2915841,399712,714894,2406906
Texas,4270762,1796567,347495,1785,924391,3193721,1103,3221103,717682,6414824,960714,1678396,5487545
Utah,347130,172965,30215,2544,1235,271690,3611,278620,85225,550310,54262,139487,542920
Vermont,232210,92529,34492,25,384,177007,16,182224,51709,359231,40726,92435,358806
Virginia,1755997,766832,154944,543,661449,1328769,198,1349004,306688,2677773,320844,627532,2015583
Washington,1225349,366522,144320,19226,7424,830434,11394,905757,306174,1736191,231163,537337,1698147
West_Virginia,1206642,594358,100974,93,117754,933392,25,968582,194409,1901974,250406,444815,1784102
Wisconsin,2113173,782232,242182,412,12158,1537411,12265,1600176,450208,3137587,376999,827207,3112752
Wyoming,171465,66719,12558,840,956,115687,2349,135055,33749,250742,35625,69374,246597
